A,B,C
19,0.7087565716187947,15
98,0.09830975888545834,62
47,0.625095314288168,45
26,0.13489946063907376,86
61,0.2000170430029613,76
21,0.09425851815778341,41
79,0.2537690532682372,93
6,0.8558062788932617,42
13,0.9122996234408274,58
84,0.9383953882827646,34
37,0.6582406327024487,87
47,0.6872635660390545,53
96,0.0833685014513893,59
53,0.9549426182002445,98
80,0.6248348327873198,68
2,0.47226008370657746,97
46,0.16724355488315634,42
95,0.023921461186006243,66
13,0.8936395999932127,11
56,0.019587475648845554,25
42,0.4216756157497912,47
46,0.3751293820441659,25
35,0.9780026648329446,82
83,0.9782293115099793,79
59,0.5294432309464813,40
48,0.04919900988724146,53
18,0.08525008109071797,49
25,0.6637741483319939,40
75,0.04385545375260058,77
46,0.8714990324467612,36
44,0.6659488512745244,33
46,0.2874071536295554,98
22,0.3890106258958578,44
39,0.6503452981874943,48
63,0.092066095631686,64
89,0.9268956297260885,34
64,0.9652885952782926,14
70,0.5292297641895308,85
70,0.23914628257909054,71
57,0.7396633822105011,15
70,0.6130605108527829,37
29,0.3057578605715944,86
14,0.06075757696547168,62
6,0.9366855214511477,28
10,0.5405032551525123,34
81,0.9664314289110122,86
55,0.7472003789150301,43
78,0.9935859803621547,99
50,0.7102721035622623,44
42,0.9154119656409004,12
57,0.0073500732238857,4
89,0.04662430302875531,11
25,0.7770297804945986,91
21,0.9825287119599938,57
23,0.2093284721091787,48
28,0.6228387686851863,25
69,0.5662963889664665,2
61,0.9315241416181799,47
81,0.8987384490407282,66
98,0.2924759700138181,82
19,0.6013157833606874,81
87,0.07933396953395166,85
88,0.8630436800932771,11
32,0.7639431629446044,47
68,0.4838498142123071,86
85,0.15908298239341034,35
90,0.9465137123344055,19
57,0.4688681599472919,89
24,0.14273494643467255,42
88,0.28166011687712333,18
4,0.795763364685006,35
80,0.9924605237329044,90
72,0.4100484038588509,51
56,0.9532191584379053,94
16,0.38647670710984816,38
82,0.001778746338942816,57
72,0.3464762480342073,12
59,0.1377831744385214,61
52,0.6298926389306579,99
23,0.39303699247497004,84
95,0.985177390501181,24
44,0.6926334330020026,2
8,0.48309839715748815,69
50,0.1515686163742016,93
79,0.6617645841717634,43
71,0.5695501184835798,58
95,0.4544556036664691,81
48,0.22808050022006932,68
74,0.06487083384576264,47
16,0.4169686602361834,79
30,0.36203343611486927,32
56,0.18652975585025544,41
97,0.6980835797110438,16
60,0.5041101101157435,13
18,0.26413390683356397,15
51,0.3554349022938348,96
19,0.15691987970459198,95
49,0.7455067234905647,45
46,0.25860125675053147,43
52,0.506597312898857,68
84,0.581247439088482,53
28,0.34791899564759565,93
77,0.5049937401580955,72
79,0.2734898180044275,66
23,0.3600462774808858,67
4,0.09769761959803858,43
27,0.544968741740282,63
14,0.9472010027089458,51
10,0.7037862869023194,26
83,0.34056150497129467,81
11,0.5550580169610649,77
86,0.30134865920610654,44
76,0.5890580736170868,29
91,0.1748047044709753,26
27,0.04775126428417409,80
8,0.4444082774581306,7
36,0.7247433752349468,67
93,0.7448851575997778,39
70,0.11574819026899297,73
43,0.6049140305672239,72
31,0.22271912886457645,42
70,0.963797959541998,25
6,0.356243543440089,50
12,0.3116452543469703,23
7,0.1865470326320955,19
55,0.48570811920331747,59
72,0.048381683291944144,95
26,0.6594520510032943,44
55,0.08189074449232026,63
17,0.7995938270072803,92
59,0.9177514024277157,41
51,0.16378661631927816,74
49,0.39136539850276886,93
35,0.18890645808526985,47
32,0.1217352803373456,70
27,0.3564565668255446,40
84,0.7779093073627237,59
25,0.010006453959729988,92
90,0.068753493494076,49
9,0.38464624276792503,13
19,0.39627999755342813,80
6,0.2843290062487227,95
97,0.4651132017802633,25
75,0.47494383555185393,20
83,0.5387853166886487,49
4,0.20588518698855474,89
30,0.7282183621201941,13
89,0.4232465298210871,92
27,0.8077245800764525,25
38,0.19613417513236742,15
48,0.18566113250344485,67
48,0.49112926970042836,51
73,0.4641463655599166,89
28,0.4600845198812794,92
18,0.9979656854309522,5
98,0.7892492528776902,76
55,0.815273377367453,5
94,0.2892918083330681,20
54,0.8520478354431549,49
79,0.8737233674839998,20
22,0.48924961644736054,42
5,0.5732884557786948,90
84,0.8961136338105609,13
56,0.9641375007360636,38
64,0.7085760097716578,61
31,0.9290008986469211,96
85,0.3747557817719266,79
71,0.48649160512080336,31
30,0.07289884928699486,75
77,0.7598712216740581,41
45,0.6912044496369455,6
46,0.0007410304020649683,52
18,0.1965615041418669,57
54,0.3316977299265631,99
34,0.9605377902728162,99
50,0.7366985162182285,22
72,0.6709703472418123,37
13,0.6162570535487746,75
82,0.5480564098131498,27
67,0.7189680117283005,39
45,0.8107514793310856,87
96,0.6431301006543398,40
45,0.3499717181048838,36
93,0.05048975535127731,55
30,0.5093871510481905,91
13,0.7297079582652952,80
30,0.7585455960957903,28
3,0.305565448866284,74
82,0.26421466337083277,87
58,0.7614258851054181,51
54,0.7838398641499226,19
93,0.879378209212686,10
14,0.7621263150482458,45
71,0.36559024956605746,84
22,0.38516490274984216,24
15,0.9029214529814934,38
56,0.016108826134,70
90,0.6182781323216766,53
13,0.2738872530104032,23
45,0.9146243267002562,7
58,0.20040159141876235,99
72,0.6943583469123639,44
51,0.2938008581792577,33
41,0.34989386885059093,67
36,0.4102697544310835,36
89,0.978901514876899,48
95,0.6639525068028889,51
99,0.4193590279975955,84
35,0.8287299125296903,86
69,0.9540796810314959,23
37,0.36620671727686915,27
42,0.3795751605647516,78
45,0.061447170064398926,79
72,0.7835190279435005,87
70,0.30314412282152503,18
57,0.22972107366931682,2
11,0.9387542165890493,14
28,0.954511828999969,37
14,0.7831189355123754,76
15,0.45624638165521114,35
66,0.9844294781876874,95
91,0.2998466773064673,13
55,0.13343148799389704,79
30,0.648257449769634,15
95,0.4891590825258294,48
59,0.3782652915048874,76
91,0.13712675912518968,95
21,0.21654434084651053,48
7,0.8564791966816905,65
24,0.4295084946899417,29
8,0.8382341326439247,66
5,0.14909924519310547,7
29,0.2003903875821289,41
42,0.39312376398340165,74
88,0.8834657812607865,99
7,0.8270041430911997,31
33,0.3105683154227906,19
5,0.3733944798425939,3
68,0.7091328267512546,56
80,0.5926389951912497,46
18,0.6597197536837743,61
54,0.46219244568263607,95
3,0.7504658758871743,37
75,0.5969046915276309,81
42,0.9800203549611475,27
50,0.9757647370607949,67
37,0.8911439993901948,23
71,0.22753826528445797,51
45,0.44501848628990337,21
38,0.958437736742782,34
41,0.4741780333976807,82
97,0.8521465246606819,49
12,0.3009768191622574,64
72,0.7250536826721413,70
44,0.0926028788163481,54
20,0.9779557634499989,30
10,0.19706663866690255,87
25,0.6146864466883487,45
67,0.8478638255962088,77
43,0.33955428238241536,88
24,0.04590186325085133,36
33,0.08438144412158488,61
24,0.09882877990304473,42
10,0.939139687515599,86
71,0.773058786181952,30
91,0.6056062215651267,12
43,0.41677466558468457,65
51,0.41195034551646004,29
99,0.09370628536555603,19
68,0.41275946073100456,28
62,0.07989207910353713,77
1,0.3492719758252786,96
15,0.4319950514885389,93
50,0.7846735626436677,90
96,0.7480893193933069,72
1,0.8221054249340489,67
85,0.731957809056217,51
36,0.6487220597955625,17
68,0.8114060269404267,8
42,0.9203479267493869,2
59,0.832626344716672,1
10,0.6999714824403276,45
73,0.6650352513596173,9
84,0.1064591227684184,19
4,0.6674379490744404,95
84,0.9058125494285217,30
41,0.11386870059615539,64
86,0.5271776004521027,12
3,0.2873579413367392,37
88,0.6086138039556664,90
97,0.15829588803614303,63
72,0.5934419153643978,73
23,0.8367927339360984,9
15,0.6056998347132041,17
43,0.9211718247960343,50
71,0.331002960145793,68
26,0.050184407610868176,91
97,0.07591892089770602,39
98,0.17771791568479123,48
72,0.50077675787188,40
42,0.32199021172799114,6
73,0.6035631909588663,76
46,0.2363365978182358,22
48,0.5919920734792338,18
5,0.32176353261610413,71
82,0.18564197369709745,6
29,0.5808859042652532,11
75,0.14927468977885638,55
76,0.7081233544451085,81
6,0.0669143009406239,4
49,0.2343112236063033,85
86,0.39232896035350107,36
72,0.7250280583189948,47
10,0.562953846610394,60
87,0.16515914880501048,31
55,0.6260733771649444,56
45,0.13674745123573018,3
56,0.9639110576298698,47
18,0.19165206975700777,87
51,0.7847848421757468,80
94,0.6047205081600371,60
48,0.9968255032475938,29
55,0.7921735222628363,28
76,0.7942825038822287,17
68,0.25719131375478677,39
82,0.5962193221718061,1
43,0.1962921654044394,23
55,0.2982662834063692,48
85,0.314590890336379,50
81,0.564375209985375,13
6,0.6764948723916754,8
72,0.3721597198643727,52
48,0.576375404065662,39
32,0.7642836277509745,25
97,0.45547402848928176,7
5,0.3862504884944771,52
73,0.15313899589753988,86
56,0.4430378845707128,47
20,0.4384277021437851,5
24,0.8038031349641702,1
48,0.17054782544753266,10
41,0.3498872541028244,52
98,0.41296642645338444,25
66,0.9690771857977113,22
51,0.030740126388422384,35
61,0.9836820953108341,87
56,0.29226558369793143,31
83,0.5067298192173282,17
22,0.1503028194930558,99
28,0.7730679107709884,92
70,0.94830656428111,45
57,0.16465273380142909,79
71,0.1591762645921273,86
33,0.7402009490339272,7
90,0.058129867776121946,65
34,0.14608864349850703,56
47,0.24054253372548284,41
38,0.08470396117699197,55
46,0.6192424637136852,44
85,0.8945876284406652,1
68,0.2892048185139049,18
77,0.23353038278753435,55
95,0.8284047172628635,88
35,0.8702655872082926,78
15,0.84993893456327,67
16,0.8264100429523894,77
93,0.09795651891155477,3
49,0.0403765492471152,1
60,0.9611353094045749,58
47,0.6165761102803214,78
11,0.9414903733786615,34
38,0.835857244512503,37
66,0.15129573807809016,79
51,0.4554731959846626,17
19,0.6900866003138179,79
93,0.8764462859190943,66
29,0.5479920049970006,61
79,0.4473292482715039,19
1,0.6907731060106452,69
6,0.12152954816627026,50
37,0.0948775167464857,86
30,0.23922442152706258,92
2,0.7975629167429893,40
3,0.006426868786062578,6
43,0.5920070674693696,56
1,0.8496693134092935,69
59,0.9101952283724868,29
63,0.8713514114732963,71
57,0.7588426422081883,90
79,0.10268443700627228,88
62,0.7213441107204279,42
36,0.7380901880746822,60
86,0.6484369008641251,63
52,0.0597267531654575,83
30,0.5253209538119339,62
52,0.9787228133815369,33
80,0.5676722836253355,80
69,0.19474862007672933,80
69,0.14185545325261462,82
1,0.7520436159257694,80
7,0.6485663565187292,4
79,0.2803013784015752,95
51,0.4782985338390122,59
86,0.17212841055407402,77
94,0.5683154333348274,26
20,0.6923016679034532,5
72,0.5379713653359153,5
28,0.444764626715613,94
47,0.8802967700787185,60
92,0.8942050295172054,79
85,0.8928827108708621,26
63,0.6112187721679039,92
30,0.9815474220273861,36
35,0.6575311518255108,68
84,0.7526076356663849,21
44,0.3524748081175785,61
36,0.15699000380646944,73
58,0.3131065551129314,9
27,0.137493083676701,43
6,0.08484395503981068,98
13,0.40951850224493325,30
42,0.1783173690172497,94
59,0.8323603804684478,99
96,0.2912823300476649,72
21,0.03303503390078244,96
20,0.4856948325033159,66
35,0.2688830627784604,81
69,0.8768953112067172,74
54,0.14157492151728956,53
22,0.8848544342597968,29
38,0.7765595684088189,69
96,0.440557284353171,59
90,0.24069333253188185,6
35,0.8051578693466054,4
4,0.9975594588162465,3
89,0.5005140047676512,75
89,0.26546630384098846,52
7,0.8513697143334599,40
79,0.3711191729099066,17
50,0.3218131162763067,54
46,0.24853039535404364,87
14,0.06766117521469484,74
71,0.9254799621238111,53
50,0.9116384219281933,48
99,0.32410597676776265,69
98,0.9413425849323012,1
48,0.19978435939739125,16
78,0.8387698432246806,26
46,0.16656416417136777,8
63,0.6209261451600652,44
75,0.8560867546805786,63
36,0.7193528383560888,96
48,0.30407384739673315,59
76,0.6520202349291088,38
41,0.5647993937499785,96
42,0.11289838424322485,84
99,0.674619760929248,63
90,0.02341176614752838,44
44,0.5165969648665183,25
30,0.08283871572989576,92
40,0.3261298001008701,57
67,0.09770533475612075,9
15,0.3587163302621851,40
48,0.8515422696558287,92
87,0.45380602396032554,56
38,0.3162462673636005,50
86,0.8593249643034178,66
16,0.6088626834359941,64
59,0.3648363012626731,18
60,0.901076341462381,46
42,0.5000996745628736,55
81,0.26744823607787727,20
97,0.9077337409629408,55
94,0.9605521558620143,63
9,0.24766037254156148,96
17,0.9759746162774673,92
14,0.5755958224344104,96
80,0.3532249244408655,88
97,0.3894326320824596,1
73,0.7071727358649352,29
58,0.5410617154336566,37
61,0.0015276042109294563,20
21,0.44789349043790694,43
12,0.019288792064304672,67
9,0.5218083302418995,86
39,0.5686312653138708,97
55,0.7400859812724306,92
51,0.9179538369072561,32
57,0.6713177568614856,82
73,0.8761268813998384,85
52,0.6121460890125661,90
17,0.44574534657514886,1
65,0.8991807161341984,76
45,0.8854397856772919,45
97,0.945140750351422,65
39,0.4041895249729658,98
89,0.3704368796429871,47
3,0.9131592606322105,32
42,0.5911712924685276,31
54,0.6405001256959703,9
72,0.4971313853633693,83
25,0.5728051304190963,61
64,0.19290858917487752,53
20,0.9030321871909128,40
2,0.613573510296019,68
55,0.1805820869841699,88
81,0.22119791877832096,32
32,0.9680772757882794,29
47,0.4428979680518387,64
52,0.993147056065293,67
57,0.6927048511903336,83
1,0.9909136103194053,86
40,0.8817201102241424,87
15,0.6984292450227761,42
2,0.7465847503679075,14
34,0.33245238792638787,71
16,0.0838149518207022,99
60,0.5062061169673753,23
46,0.9537640500068504,14
40,0.4908927151095742,7
33,0.09263567649257498,80
10,0.3023547656116685,41
45,0.7805956529864969,42
93,0.10244593144011083,82
30,0.9384226461617179,36
79,0.7666941392064431,67
49,0.9993664160740063,65
13,0.7946047662486387,95
17,0.3463571770672209,37
73,0.8315524495844853,11
22,0.7927605986669958,25
54,0.7038068289890019,39
97,0.2604498594512995,30
3,0.1154302640414484,83
32,0.9237886158537328,96
90,0.5979459673933789,91
68,0.14416932054787346,64
86,0.5998479975085055,81
83,0.6596094950679122,14
35,0.27302816760828774,47
66,0.3033591798950208,99
15,0.9425805552729375,65
91,0.20830908908554135,71
22,0.21968300185983725,82
20,0.8323531449996313,29
8,0.2785089387546733,56
91,0.7998403148689014,67
3,0.8371761420051229,8
82,0.43532340222950716,67
43,0.16416071447689795,90
82,0.3463701372765384,68
53,0.6471505326045384,29
68,0.569865819473081,65
92,0.7940646533875356,89
39,0.5856878985867283,58
73,0.3517334592701855,58
85,0.10640124575849674,82
93,0.7200393500447193,28
30,0.0786713245622851,73
53,0.3989186450746923,12
48,0.09939016623444163,40
72,0.14727694233825095,19
27,0.2183568817227819,87
30,0.8857791281872327,41
77,0.8958654579008415,31
30,0.6638711317924432,88
19,0.26782209537921164,10
25,0.37232469119233436,42
57,0.4222420587704949,26
76,0.1388778786103131,6
28,0.17840388399336082,94
78,0.9970733666256092,45
2,0.6307881698982081,83
48,0.20293548271220285,44
44,0.6079904738191763,90
49,0.2861662881529259,53
49,0.9123010111094104,60
96,0.28981651587951585,95
45,0.16552982662141102,86
16,0.10354776566517065,11
39,0.12238653234157837,97
68,0.18136452623758625,45
68,0.3120159889931895,32
38,0.18944339632146434,70
4,0.035124861918460315,63
18,0.7118439737083818,67
4,0.42966053364292445,41
16,0.208779635587643,68
89,0.3084616484281625,59
8,0.9105898873208823,1
81,0.2922471805973642,15
42,0.05818808312016133,93
77,0.7457188532462159,22
25,0.5665328720297381,8
36,0.19989518392333605,15
96,0.7424239166152022,48
56,0.3716490985488863,4
68,0.07110601665545158,15
11,0.5452862676398824,45
71,0.2395259211915154,67
38,0.6432630790933145,9
50,0.20858507187398334,92
38,0.24715319298069716,36
76,0.32564192459083163,63
57,0.152258655160044,62
59,0.2967686328992766,34
21,0.02420583488915784,6
94,0.9222209549581643,55
38,0.8954583501826657,75
20,0.2836137344969182,44
68,0.6606776269401009,84
18,0.4655696920568393,94
34,0.21134591999740093,67
6,0.6234819833230246,9
43,0.6786043748441487,75
59,0.5109866695693037,58
14,0.31327101462386453,43
95,0.7639300550144782,29
93,0.015508529355327094,92
15,0.7416950121518217,49
38,0.2818637960700838,98
76,0.12187427496994696,56
87,0.687133937902546,67
2,0.2210393229359633,2
30,0.7582397962647088,47
74,0.22353190528423794,17
92,0.9166466751382322,36
28,0.6657667710178921,16
91,0.9045065520224096,19
15,0.8156730549005778,86
8,0.3451202897539677,36
17,0.639343267318548,10
53,0.272613266237694,33
16,0.51024169523792,85
11,0.36360372756197645,16
61,0.2301597217712792,52
17,0.7951548155783957,86
65,0.3235220823841659,3
92,0.5401542717741716,82
26,0.15948577771891248,47
78,0.1058835824909925,37
13,0.4130919469589702,74
63,0.6844791658537847,78
